date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Algeria,0,41,0,0,0
2021-04-01,Bangladesh,0,166,0,0,0
2021-04-02,Afghanistan,0,32,5,0,0
2021-04-02,Algeria,0,35,6,0,0
2021-04-02,Bangladesh,0,115,51,0,0
2021-04-03,Afghanistan,0,26,11,0,0
2021-04-03,Algeria,0,29,12,0,0
2021-04-03,Bangladesh,0,84,82,0,0
2021-04-04,Afghanistan,0,20,17,0,0
2021-04-04,Algeria,0,21,20,0,0
2021-04-04,Bangladesh,0,72,94,0,0
2021-04-05,Afghanistan,0,18,19,0,0
2021-04-05,Algeria,0,16,25,0,0
2021-04-05,Bangladesh,0,49,117,0,0
2021-04-06,Afghanistan,0,15,17,5,0
2021-04-06,Algeria,0,12,23,3,3
2021-04-06,Bangladesh,0,39,76,27,24
2021-04-07,Afghanistan,0,11,15,8,3
2021-04-07,Algeria,0,10,19,6,6
2021-04-07,Bangladesh,0,29,55,43,39
2021-04-08,Afghanistan,0,11,9,12,5
2021-04-08,Algeria,0,8,13,11,9
2021-04-08,Bangladesh,0,26,46,48,46
2021-04-09,Afghanistan,0,10,8,14,5
2021-04-09,Algeria,0,6,10,13,12
2021-04-09,Bangladesh,0,19,30,58,59
2021-04-10,Afghanistan,0,8,7,15,7
2021-04-10,Algeria,0,4,8,13,16
2021-04-10,Bangladesh,0,17,22,65,62
2021-04-11,Afghanistan,0,8,3,17,9
2021-04-11,Algeria,0,4,6,15,16
2021-04-11,Bangladesh,0,15,14,70,67
2021-04-12,Afghanistan,0,6,5,17,9
2021-04-12,Algeria,0,2,6,16,17
2021-04-12,Bangladesh,0,14,12,73,67
2021-04-13,Afghanistan,0,6,4,17,10
2021-04-13,Algeria,0,2,4,18,17
2021-04-13,Bangladesh,0,13,6,76,71
2021-04-14,Afghanistan,0,6,2,19,10
2021-04-14,Algeria,0,1,3,18,19
2021-04-14,Bangladesh,0,11,6,77,72
2021-04-15,Afghanistan,0,5,3,19,10
2021-04-15,Algeria,0,0,4,18,19
